female,white,black,hisp,asian,married,age,collegeS,collegeM,collegeD,calc,books,mathLike,income,big5O,big5C,big5E,big5A,big5N,AMAS,BDI,MCS,GSES,vocabPre,mathPre,vocabPost,mathPost,MCSpost,mathGrp,mathSel,logAge,logBooks,logBDI
1,1,0,0,0,1,30,1,1,1,0,5,1,1,32,28,27,32,22,45,13,6,24,7,2,7,7,6,1,0,3.401197382,1.791759469,2.564949357
0,1,0,0,0,1,53,1,1,1,0,60,0,1,22,18,25,20,22,18,13,17,18,22,4,21,6,17,0,0,3.970291914,4.110873864,2.564949357
0,1,0,0,0,1,38,1,0,0,1,5,1,1,31,20,34,23,29,10,17,23,21,17,11,21,14,23,0,1,3.63758616,1.791759469,2.833213344
1,1,0,0,0,1,36,0,0,0,0,0,0,1,27,17,21,25,24,31,13,7,18,14,4,20,5,7,0,0,3.583518938,0,2.564949357
0,1,0,0,0,0,28,1,1,1,1,20,1,1,25,15,26,15,32,23,13,13,17,14,7,19,7,13,0,0,3.33220451,3.044522438,2.564949357
1,1,0,0,0,0,22,0,0,0,1,5,0,0,22,27,32,32,21,21,30,7,14,16,6,18,10,6,0,0,3.091042453,1.791759469,3.401197382
0,1,0,0,0,0,60,1,0,0,1,5,1,0,20,27,19,31,29,32,25,11,17,22,8,19,7,6,1,0,4.094344562,1.791759469,3.218875825
0,1,0,0,0,0,27,0,0,0,1,0,1,0,24,10,37,23,26,19,33,17,18,10,7,16,9,15,0,1,3.295836866,0,3.496507561
0,1,0,0,0,0,38,1,1,0,1,5,0,1,19,19,31,24,29,14,15,19,21,18,11,22,14,20,1,0,3.63758616,1.791759469,2.708050201
1,1,0,0,0,0,22,0,1,0,1,5,0,0,16,22,13,12,34,16,15,13,21,14,3,17,9,16,1,0,3.091042453,1.791759469,2.708050201
1,0,0,0,1,0,29,1,0,0,1,25,1,1,23,17,39,14,25,27,18,18,16,14,9,18,8,18,0,0,3.36729583,3.258096538,2.890371758
1,1,0,0,0,1,42,1,0,1,1,15,0,1,21,19,33,19,21,16,19,19,19,13,12,16,15,24,1,0,3.737669618,2.772588722,2.944438979
1,0,1,0,0,0,38,0,0,0,1,5,0,1,19,14,22,14,32,12,13,13,20,8,3,9,1,17,1,0,3.63758616,1.791759469,2.564949357
1,1,0,0,0,1,48,1,1,1,0,10,0,1,23,14,21,18,30,21,13,6,20,18,10,14,7,12,1,0,3.871201011,2.397895273,2.564949357
0,1,0,0,0,0,32,1,1,1,1,10,0,1,23,14,29,19,35,19,13,15,20,10,8,18,12,24,1,1,3.465735903,2.397895273,2.564949357
1,1,0,0,0,0,49,0,1,0,0,5,0,0,33,25,29,28,35,9,13,13,17,21,11,22,10,13,0,0,3.891820298,1.791759469,2.564949357
1,1,0,0,0,0,66,0,0,0,0,5,0,0,19,12,17,11,36,22,13,7,22,16,3,19,1,7,0,0,4.189654742,1.791759469,2.564949357
0,1,0,0,0,1,30,1,0,0,1,5,0,1,25,10,25,9,40,14,13,12,23,16,2,14,6,12,1,0,3.401197382,1.791759469,2.564949357
0,1,0,0,0,0,44,0,0,0,0,0,1,1,16,12,20,13,36,12,14,6,23,12,8,20,5,6,0,0,3.784189634,0,2.63905733
1,0,0,0,0,1,50,0,0,0,0,0,0,0,25,21,20,18,31,27,13,12,16,7,3,15,5,12,1,0,3.912023005,0,2.564949357
1,1,0,0,0,0,58,1,0,1,0,30,0,1,21,11,23,15,38,34,13,6,24,17,6,17,7,6,1,0,4.060443011,3.433987204,2.564949357
0,1,0,0,0,0,39,1,0,1,1,10,0,1,26,14,16,16,30,19,13,6,20,21,8,24,7,7,0,0,3.663561646,2.397895273,2.564949357
1,1,0,0,0,1,48,1,0,1,1,30,0,1,14,9,19,21,31,41,19,6,23,12,6,14,2,6,1,0,3.871201011,3.433987204,2.944438979
1,1,0,0,0,0,63,1,0,0,0,25,0,0,21,24,30,20,24,28,18,6,14,24,12,24,9,6,0,0,4.143134726,3.258096538,2.890371758
0,0,0,0,1,0,42,1,1,1,1,10,0,1,19,17,36,27,14,17,26,23,13,23,11,22,15,24,1,0,3.737669618,2.397895273,3.258096538
1,0,1,0,0,1,43,0,0,0,0,5,1,0,24,13,26,9,36,21,13,10,18,9,3,11,3,9,0,0,3.761200116,1.791759469,2.564949357
0,1,0,0,0,0,31,1,0,0,1,0,0,1,39,22,36,18,28,18,13,9,17,9,6,16,7,7,0,0,3.433987204,0,2.564949357
1,1,0,0,0,0,53,0,1,1,0,15,1,1,12,23,26,25,16,9,16,19,20,20,10,23,14,18,0,1,3.970291914,2.772588722,2.772588722
